 ,Tribes ID,# avis Glassdoor,Note Glassdoor,Classements,Secteur,Business,Business Model,Cible,Fonds,Dernière levée (M€),Linkedin,Création,# employés,# d'employés,Domaine,Website,WTTJ,Mail type,Revenus,Croissance /an,Certification RH
Bloomin,01syTm3Ps,8,"4,8",-,RH,Aide les managers et DRH à mieux comprendre ce qui motive leurs collaborateurs,SaaS,B2B,-,"1,2",https://www.linkedin.com/company/10556503,2016,2-10,-,bloomin.digital,http://bloomin.digital,,prénom.nom@bloomin.digital,-,n.a.,-
Clustree,02MJ5EqzQ,10,"4,2",-,RH,"Remédier au déficit de compétences en améliorant le recrutement, la formation et le développement des collaborateurs",Produit,B2B,-,,https://www.linkedin.com/company/clustree/,2013,11-50,-,clustree.com,https://www.clustree.com/,,,-,n.a.,-
High Flyers Agency,02HTpvmr7,-,n.a.,-,RH,The talent strategy & recruitment agency connecting the most ambitious mid to C-level talent with fast-growing companies worldwide.,Autres,B2B,-,,https://www.linkedin.com/company/highflyersagency/,2016,11-50,-,highflyers.agency,https://www.highflyers.agency/,,,-,n.a.,-
HireSweet,02QcjQUjz,-,n.a.,-,RH,"Get access to highly-targeted passive candidates, and recruit them at the click of a button.",Service,B2B,-,,https://www.linkedin.com/company/hiresweet/,2016,11-50,-,hiresweet.com,https://www.hiresweet.com/,,,-,n.a.,-
Tabmo,01m4RPsL0,-,n.a.,FT 120,Marketing,Advertising platform for new screens,Ads,B2B,-,,https://www.linkedin.com/company/tabmo/,2013,51-200,-,hawk.tabmo.io,https://hawk.tabmo.io/,,,-,n.a.,-
Laponi (ex. Merito),02N6wsgYC,-,n.a.,-,RH,Plateforme de Partage de Collaborateurs ...,SaaS,B2B,"Club Holnest, UL Invest, ZTP","1,0",https://www.linkedin.com/company/laponi-rh/,2016,11-50,-,laponi.co,https://www.laponi.co/,,,-,n.a.,-
Talent.io,01yChrF2C,26,"4,8",FT 120,RH,Découvrez la 1ère plateforme sélective. 200+ nouveaux candidats chaque semaine. 5000+ entreprises tech. I,SaaS,B2B,-,,https://www.linkedin.com/company/9397589,2015,11-50,,talent.io,https://www.talent.io/,,prénom@talent.io,-,n.a.,-
Talentsoft,02LkEoQN0,91,"3,3",Next 40,RH,Digitalisation RH - Gestion de Talents & Formation‎,SaaS,B2B,"Francisco Partners, Bpifrance et Goldman Sachs","45,0",https://www.linkedin.com/company/210243,2007,501-1000,-,talentsoft.com,http://www.talentsoft.com,,pnom@talentsoft.com,50-100M€,n.a.,-
Taster,01vgRiC,-,n.a.,-,Foodtech,Restaurants « virtuels » en France (livraison),Service,B2C,"Battery Ventures, Heartcore Capital, LocalGlobe, GFC, Founders Future","7,0",https://www.linkedin.com/company/taster-intl/,2017,51-200,40,taster.com,https://www.taster.com/,,,-,n.a.,-
Riminder,01yChxfM1,12,3,-,RH,"AI powered Infrastructure to help you to centralize, score and control your talent pools.",Autres,B2B,-,,https://www.linkedin.com/company/riminder/,2013,11-50,-,riminder.net,https://www.riminder.net/,,,-,n.a.,-
Team Vitality,01yCiUx,-,n.a.,-,Gaming,"Vitality est la première équipe esport en France, à la conquête de l'Europe et du Monde.",Autres,B2C,Rewired.GG,"14,0",https://www.linkedin.com/company/10371815,2013,51-200,80,vitality.gg,http://vitality.gg,,prénom@vitality.gg,-,n.a.,-
Teaminside,026BOAV16,5,"3,7",-,RH,"Experts digitaux, Chasse, Conseil, Teaminside Group répond à tous vos besoins.",Service,B2B,"Capital Croissance, Turenne Capital","10,0",https://www.linkedin.com/company/team-inside/,2011,51-200,55,teaminside.fr,https://teaminside.fr/,,,-,n.a.,-
ELamp,01yCi29Ux,-,n.a.,-,RH,Skill Data for Business,SaaS,B2B,"MySeedCap, BPI France, BNP, CIC, Société Générale, Euratechnologies","2,0",https://www.linkedin.com/company/elamp/,2015,11-50,,elamp.fr,https://www.elamp.fr/,,,-,n.a.,-
Goshaba,02MIw16kM,-,n.a.,-,RH,La solution de matching pour recruteurs,SaaS,B2B,"daphni, INCO, Founders Future, Financière Saint-James, Guibor, BNP Paribas Développement, Jaïna Capital","2,0",https://fr.linkedin.com/company/goshaba,2014,11-50,,goshaba.com,https://goshaba.com/,,,-,n.a.,-
Moodwork,01yCiUx9c,-,n.a.,-,RH,Rendez vos salariés acteurs de leur Qualité de Vie au Travail,SaaS,B2B,Newfund,"2,0",https://www.linkedin.com/company/12577169,2017,11-50,,moodwork.co,https://moodwork.co/,,,-,n.a.,-
Scale Up RH,01yCiM11G,-,n.a.,-,RH,Partenaire opérationnel des petites entités qui se développent.,Service,B2B,-,,https://www.linkedin.com/showcase/scale-up'-hr/,2018,n.a.,,scale-up-rh.fr,https://www.scale-up-rh.fr/,,,-,n.a.,-
Shapr,02IRB0j8t,-,n.a.,-,RH,"Sur Shapr, tu vas pouvoir rencontrer des professionnels inspirants et aussi trouver un job et une boite où t'épanouir. Shape your life !",Produit,B2C,-,,https://www.linkedin.com/company/3853723,2014,11-50,,shapr.co,https://shapr.co/fr/shapr-talent/,,prénom@shapr.co,-,n.a.,-
Snapshift,02BCDffNh,-,n.a.,-,RH,Snapshift: Logiciel Planning et Gestion du Personnel,SaaS,B2B,"Bpifrance, UL Invest","5,0",https://www.linkedin.com/company/10799587,2016,2-10,,snapshift.co,http://www.snapshift.co,,,-,n.a.,-
Vendredi,02Ne2EcaR,5,"3,9",-,RH,Vendredi propose des emplois partagés entre entreprise et association.,Service,B2B,-,,https://www.linkedin.com/company/9389605,2014,2-10,,vendredi.cc,http://vendredi.cc,,prénom@vendredi.cc,-,n.a.,-
ART-Fi,01yCi0krF,-,n.a.,-,Telecom,SAR Measurement - ART-Fi,Service,B2B,-,"2,3",https://www.linkedin.com/company/art-fi/about/,2010,11-50,16,art-fi.eu,https://www.art-fi.eu/,,,-,n.a.,-
Dust Mobile,02EK8BffZ,-,n.a.,-,Telecom,The secure carrier,Service,B2B,"ACE Management, Omnes","3,0",https://www.linkedin.com/company/dust-mobile/,2017,2-10,20,dustmobile.com,https://dustmobile.com/,,,-,n.a.,-
Wupatec,02ELMVS0k,-,n.a.,-,Telecom,Technologie innovante d'amplificateur de puissance,Produit,B2B,"Irdi Soridec, Aquiti Gestion, InnoEnergy","3,0",https://www.linkedin.com/company/wupatec/,2016,11-50,23,wupatec.com,https://wupatec.com/,,,-,n.a.,-
Containous,02EL6fZVS,-,n.a.,-,Telecom,Makes Networking Boring,Produit,B2B,"Balderton Capital, Elaia, 360Capital","9,0",https://www.linkedin.com/company/containous/,2016,11-50,50,containo.us,https://containo.us/,,,-,n.a.,-
Tiller Systems,01m4RPyBo,55,"4,1",Top Linkedin,Foodtech,la solution de caisse tactile n°1 en France,SaaS,B2B,"360 Capital, Ring, Omnes","12,0",https://www.linkedin.com/company/5075448,2014,51-200,32,tillersystems.com,http://www.tillersystems.com,,pnom@tillersystems.com,5-10M€,n.a.,-
Tissium,01yCiOT8t,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"BNP Paribas Développement, le Fonds européen d'investissement (FEI), M & I Investment, ValQuest Partners, Sofinnova Partners, Bpifrance, CM-CIC Innovation, CapDécisif Management, Omnes Capital","39,0",https://www.linkedin.com/company/35675494,2013,51-200,230,tissium.com,http://www.tissium.com,,,-,n.a.,-
Amarisoft,026B2J6iC,-,n.a.,FT 120,Telecom,Editeur de logiciels spécialisé dans les infrastructures télécom mobiles,SaaS,B2B,-,,https://www.linkedin.com/company/amarisoft/,2012,2-10,,amarisoft.com,https://www.amarisoft.com/,,,-,n.a.,-
Erméo,01yChuWX9,-,n.a.,-,Telecom,La Plateforme de l'Opérateur Connecté,SaaS,B2B,-,,https://www.linkedin.com/company/ermeo/,2015,11-50,,ermeo.com,https://www.ermeo.com/,,,-,n.a.,-
Ringover,01yCiKVc9,-,n.a.,-,Telecom,Simplifiez votre téléphonie d'entreprise.,SaaS,B2B,-,,https://www.linkedin.com/company/9180058,2005,11-50,,ringover.com,https://www.ringover.com,,prénom@ringover.com,-,n.a.,-
Toucan Toco,02SEPYj,27,5,-,Data,Partagez un reporting clair aux utilisateurs métiers grâce à un outil simple d'utilisation.,SaaS,B2B,Balderton Capital,"8,0",https://www.linkedin.com/company/3661933,2014,11-50,17,toucantoco.com,http://toucantoco.com,,prénom@toucantoco.com,-,n.a.,-
NannyBag,01yChwQ4t,-,n.a.,-,Tourisme,Consigne à Bagage Sécurisée 24/7 : 500 villes,Service,B2C,"Expon Capital, Fa Dièse","2,0",https://www.linkedin.com/company/10474123,2016,2-10,11,nannybag.com,https://www.nannybag.com/,,,-,n.a.,-
Magicstay,02Ra64t2C,1,3,-,Tourisme,Hébergement et location d'appartement et d'appart-hotel pour vos déplacement professionnels dans le monde entier.,Marketplace,B2C,-,"3,0",https://www.linkedin.com/company/magicstay/,2013,11-50,21,fr.magicstay.com,https://fr.magicstay.com/,,,-,n.a.,-
Traxens,02Oz3hKve,-,n.a.,-,Iot,De précieuses données au service de la chaîne d'approvisionnement et de son efficacité.,SaaS,B2B,"Itochu Corporation, Bpifrance, Supernova Invest","20,0",https://www.linkedin.com/company/traxens/,2012,51-200,52,traxens.com,https://www.traxens.com/,,,-,n.a.,-
Coucoo,024MaxHwQ,-,n.a.,-,Tourisme,Nos éco-domaines,Marketplace,B2C,Bpifrance,"3,5",https://www.linkedin.com/company/coucoo/,2009,11-50,24,coucoo.com,https://www.coucoo.com/,,,-,n.a.,-
Ad's up,26YT4612,,,,,,,,,,,,,,,,,,,,
Adyen,26YT4611,,,,,,,,,,,,,,,,,,,,
Trusk,02SCyo6KL,-,n.a.,FT 120,logistique,"Trusk livre tout, tout de suite",Marketplace,B2B,"Via ID, Daphni","7,0",https://www.linkedin.com/company/trusk/,2015,51-200,41,trusk.com,https://trusk.com/,,,-,n.a.,-
Agorapulse,26YT4610,,,,,,,,,,,,,,,,,,,,
Allure Systems,26YT4609,,,,,,,,,,,,,,,,,,,,
Anaxago,26YT4608,,,,,,,,,,,,,,,,,,,,
Ubitransport,01yChxqmC,-,n.a.,FT 120,Mobilité,"Solutions numériques de gestion temps réel des réseaux de transports publics de voyageurs pour les filières scolaire, urbain, interurbain et à la demande.",SaaS,B2B,"Essling Expansion, Crédit Agricole","45,0",https://www.linkedin.com/company/9297616,2012,11-50,-,ubitransport.com,http://www.ubitransport.com,,,-,n.a.,-
Assurly,26YT4607,,,,,,,,,,,,,,,,,,,,
Chili Piper,26YT4606,,,,,,,,,,,,,,,,,,,,
Custplace,26YT4605,,,,,,,,,,,,,,,,,,,,
Deepreach,26YT4604,,,,,,,,,,,,,,,,,,,,
UpOwa,02Jnd8N,-,n.a.,-,Energie,Développe des solutions innovantes pour approvisionner en électricité à tarif abordable les communautés africaines,Autres,B2C,"GAIA impact fund, INCO, Persistent, Colam Impact","2,5",https://www.linkedin.com/company/upowa/,2014,51-200,20,upowa.energy,https://www.upowa.energy/,,,-,n.a.,-
Didomi,26YT4603,,,,,,,,,,,,,,,,,,,,
Uptime,02Lk88q,6,"4,8",-,Data,La maintenance ascenseur de qualité,Autres,B2B,Serena Capital ,"7,0",https://www.linkedin.com/company/uptime.ac/,2016,51-200,42,uptime.ac,https://www.uptime.ac/,,,-,n.a.,-
DigDash,26YT4602,,,,,,,,,,,,,,,,,,,,
UX-Republic,02Q2bswrx,23,"2,9",Top Linkedin,Conseil / fonds,Cabinet de transformation digitale et d'innovation User Centric,Service,B2B,-,,https://www.linkedin.com/company/ux-republic/,2013,51-200,,ux-republic.com,https://www.ux-republic.com/,,,-,n.a.,-
Vade Secure,01yCiQB,-,n.a.,Next 40,Cybersécurité,"Vade Secure est le leader mondial en termes de protection prédictive de la messagerie, avec plus de 600 millions de boîtes de réception",SaaS,B2B,General Catalyst,"70,0",https://www.linkedin.com/company/1254979,2008,51-200,17,vadesecure.com,http://www.vadesecure.com,,,-,n.a.,-
Vectaury,02SCzM3iS,26,"4,9",-,Marketing,Solution drive to store,SaaS,B2B,-,,https://www.linkedin.com/company/15188558,2013,11-50,-,vectaury.io,https://www.vectaury.io/,,,-,n.a.,-
Veepee,02TvLmt,336,"3,2",Next 40,Ecommerce,Site de ventes évènementielles sur Internet,Marketplace,B2C,-,,https://www.linkedin.com/company/14803666,2001,1001-5000,,veepee.com,http://www.veepee.com,,,-,n.a.,-
Equify,26YT4601,,,,,,,,,,,,,,,,,,,,
Eurécia,26YT4600,,,,,,,,,,,,,,,,,,,,
Vestiaire Collective,02Tv8gkTL,45,4,Next 40,Retail,Vendez vos pièces non-portées‎,Marketplace,B2C,"Korelya Capital, Vaultier7, Cuir Invest, Eurazeo Growth & Idinvest Venture funds, Bpifrance, Vitruvian Partners, Conde Nast, Luxury Tech Fund","59,0",https://www.linkedin.com/company/2733903,2009,51-200,1122,vestiairecollective.com,http://www.vestiairecollective.com,,prénom@vestiairecollective.com,-,n.a.,-
Free now,26YT4599,,,,,,,,,,,,,,,,,,,,
Virtuo,02EK89sXB,6,5,-,Mobilité,Agence de location,Service,B2C,"Iris, Balderton, Raise","20,0",https://www.linkedin.com/company/10248516,2015,51-200,107,govirtuo.com,http://www.govirtuo.com,,prénom.nom@govirtuo.com,-,n.a.,-
Visible Patient,02L7BQuAB,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"CM-CIC Innovation, Alsace Création","11,3",https://www.linkedin.com/company/visible-patient/,2013,11-50,66,visiblepatient.com,https://www.visiblepatient.com/,,,-,n.a.,-
Getquanty,26YT4598,,,,,,,,,,,,,,,,,,,,
Hootsuite,26YT4597,,,,,,,,,,,,,,,,,,,,
iBanFirst,26YT4596,,,,,,,,,,,,,,,,,,,,
Voodoo,01yCiPb,74,"4,2",Next 40,Divertissement,We create the greatest snackable experiences on mobile.,Service,B2C,-,,https://www.linkedin.com/company/5353630,2013,11-50,,voodoo.io,http://www.voodoo.io,,,-,n.a.,-
Indeed,26YT4595,,,,,,,,,,,,,,,,,,,,
Javelo,26YT4594,,,,,,,,,,,,,,,,,,,,
Waga Energy,02N6wsg,-,n.a.,-,Greentech,"Waga Energy valorise le biogaz des sites d'enfouissement sous forme de biométhane, substitut renouvelable du gaz naturel.",Service,B2B,"Air Liquide Aliad, Ovive, Starquest Capital, Noria, Tertium","10,0",https://www.linkedin.com/company/waga-energy/,2015,11-50,58,waga-energy.com,https://waga-energy.com/,,,-,n.a.,-
Jellysmack,26YT4593,,,,,,,,,,,,,,,,,,,,
Kavalry,26YT4592,,,,,,,,,,,,,,,,,,,,
LaGrowthMachine,26YT4591,,,,,,,,,,,,,,,,,,,,
MakeSense,26YT4590,,,,,,,,,,,,,,,,,,,,
Wavy,02Ne2YoAp,-,n.a.,-,Marketing,Wavy est votre logiciel de caisse pensé spécialement pour les pros de la beauté.,SaaS,B2B,-,,https://www.linkedin.com/company/10976448,2016,51-200,-,wavy.fr,https://wavy.fr,,prénom@wavy.fr,-,n.a.,-
Maze,26YT4589,,,,,,,,,,,,,,,,,,,,
mediarithmics,26YT4588,,,,,,,,,,,,,,,,,,,,
Mixdata,26YT4587,,,,,,,,,,,,,,,,,,,,
Welcome to the Jungle,02LkANjeY,-,n.a.,-,Marketing,Le guide de l'emploi,SaaS,B2B,"Gaia Capital Partners, Bpifrance, XAnge, MAIF Avenir.","20,0",https://www.linkedin.com/company/5233683,2014,11-50,-,welcometothejungle.com,http://www.welcometothejungle.com,,"prénom@welcometothejungle.co, prénom@welcometothejungle.com",-,n.a.,-
Welink,02Ne2AfFD,-,n.a.,-,Marketing,Le Guide des Experts-Comptables : trouver mon expert ...,SaaS,B2B,Takara Capital,"1,6",https://www.linkedin.com/company/12596647,2018,51-200,85,we-link.io,http://www.we-link.io,,prénom.nom@we-link.io,-,n.a.,-
myposeo,26YT4586,,,,,,,,,,,,,,,,,,,,
Wemanity,01yCiPtBo,14,"2,9",Top Linkedin,Data,"Wemanity accelerate agile, cultural and digital transformations in order to adapt to constant change and create business value",Service,B2B,-,,https://www.linkedin.com/company/wemanity/,2013,201-500,,wemanity.com,https://www.wemanity.com/,,,-,n.a.,-
Nomination,26YT4585,,,,,,,,,,,,,,,,,,,,
Peakon,26YT4583,,,,,,,,,,,,,,,,,,,,
Potloc,26YT4582,,,,,,,,,,,,,,,,,,,,
PrestaShop,26YT4581,,,,,,,,,,,,,,,,,,,,
Pricemoov,26YT4580,,,,,,,,,,,,,,,,,,,,
Wizaplace,01m4ROf,-,n.a.,-,Ecommerce,"Plateforme de création de marketplaces B2B, B2C et C2C, de produits ou de services.",SaaS,B2B,"Bpifrance, CM-CIC Innovation, Omnes","13,0",https://www.linkedin.com/company/10177416,2012,11-50,21,wizaplace.com,https://www.wizaplace.com,,,-,n.a.,-
QuestionPro,26YT4579,,,,,,,,,,,,,,,,,,,,
SeDomicilier,26YT4577,,,,,,,,,,,,,,,,,,,,
WOÔ,02EK8APkC,-,n.a.,-,Marketing,Agence Créative d'Influence Marketing,Service,B2B,Inter Invest Capital,"3,0",https://www.linkedin.com/company/woo-paris/,2015,51-200,23,woo.paris,https://www.woo.paris/,,,-,n.a.,-
Worldia,02L7YEStr,-,n.a.,-,Tourisme,Expert du Voyage sur mesure,Marketplace,B2C,"Red River West, Cap Horn, Raise Ventures","19,0",https://www.linkedin.com/company/2980106,2012,11-50,100,worldia.com,http://www.worldia.com,,prénom@worldia.com,-,n.a.,-
Sellsy,26YT4576,,,,,,,,,,,,,,,,,,,,
Wynd,02LiccUgk,3,"3,2",Next 40,Retail,Logistique et encaissement Omnicanal,SaaS,B2B,"Natixis, Sofina, BNF Capital","72,0",https://www.linkedin.com/company/wyndomnichannel/,2014,51-200,-,wynd.eu,https://www.wynd.eu/,,,-,n.a.,-
Yespark,024MaxHES,36,"4,6",FT 120,Mobilité,location de parkings - Plus de 36 000 places à louer‎,Service,B2C,-,,https://www.linkedin.com/company/5211748,2014,2-10,,yespark.fr,http://www.yespark.fr,,prénom.nom@yespark.fr,-,n.a.,-
YesWeHack,02EK8AP,-,n.a.,-,Cybersécurité,YesWeHack est une plateforme permettant la mise en contact entre des entreprises et des hackers éthiques,Marketplace,B2B,"Open CNP, Normandie Participations","4,0",https://www.linkedin.com/company/10394699,2013,51-200,27,yeswehack.com,https://www.yeswehack.com,,,-,n.a.,-
Ynsect,02LkKN0hK,-,n.a.,Next 40,Agritech,Premium Natural Feed,Produit,B2C,"Quadia, Demeter, Vis Vires New Protein Ventures, Bpifrance, Astanor Ventures, IdInvest Partners, Picardie Investissement , Crédit Agricole Brie Picardie et Caisse d'Epargne Hauts-de-France, Talis Capital, Finasucre et Compagnie du Bois Sauvage, Happiness Capital",,https://www.linkedin.com/company/ynsect/,2011,51-200,-,nsect.com,http://www.ynsect.com/fr/,,,-,n.a.,-
Sparklane,26YT4575,,,,,,,,,,,,,,,,,,,,
Tabesto,26YT4574,,,,,,,,,,,,,,,,,,,,
Younited Credit,026B2J6,33,"4,2",Next 40,Fintech,"Le crédit, en plus rapide‎",Service,B2C,-,,https://www.linkedin.com/company/991092,2009,51-200,,younited-credit.com,https://www.younited-credit.com/,,prénom.nom@younited-credit.de,-,n.a.,-
Textmaster,26YT4573,,,,,,,,,,,,,,,,,,,,
Yubo,02L7BXB,-,n.a.,-,Divertissement,Yubo te permet de te faire des amis dans le monde entier et de découvrir des personnes que tu n'aurais jamais pu découvrir autrement.,Autres,B2C,"Iris Capital, Idinvest Partners, Alven, Sweet Capital, Village Global","11,2",https://www.linkedin.com/company/11409581,2016,11-50,66,yubo.live,https://www.yubo.live,,prénom@yubo.live,-,n.a.,-
TheFork,26YT4572,,,,,,,,,,,,,,,,,,,,
TrackAd,26YT4571,,,,,,,,,,,,,,,,,,,,
Vyfe,26YT4570,,,,,,,,,,,,,,,,,,,,
Zenpark,02L76XBUC,7,"3,1",-,Mobilité,Garez-vous en toute sécurité.‎,Service,B2C,"EDF, RATP, Demeter, Maif Avenir, Nestadio Capital, A-venture","10,0",https://www.linkedin.com/company/2387068,2011,11-50,59,zenpark.com,https://zenpark.com,,prénom.nom@zenpark.com,-,n.a.,-
Wiserskills,26YT4569,,,,,,,,,,,,,,,,,,,,
